#{"t_start": 1715704144.3330576, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
170.0,533,218.522909
170.0,533,219.128977
170.0,533,219.759098
170.0,537,220.480695
170.0,507,221.282039
170.0,533,222.099289
170.0,503,222.669026
170.0,533,223.258997
140.0,459,223.759098
170.0,507,224.634149
170.0,533,225.229019
170.0,507,225.823952
170.0,503,226.444195
170.0,557,227.139039
170.0,507,227.809202
170.0,533,228.397609
170.0,533,228.975317
170.0,537,229.63405
170.0,533,230.279009
70.0,531,233.444014
70.0,531,234.064247
70.0,531,234.800698
70.0,531,235.506881
70.0,531,236.319112
70.0,531,237.170887
70.0,531,238.462806
70.0,531,239.749003
80.0,531,240.579788
80.0,531,241.571774
70.0,531,243.658901
70.0,531,245.008869
70.0,531,245.999105
80.0,531,247.283869
80.0,531,248.368787
70.0,531,249.208775
80.0,531,249.840088
70.0,531,250.418828
70.0,531,251.019377
80.0,531,251.705431
70.0,531,252.508986
70.0,531,253.120691
70.0,531,253.684712
70.0,531,254.255124
70.0,531,254.840643
70.0,531,255.641832
70.0,531,256.2423
70.0,531,256.858857
70.0,531,257.408819
70.0,531,258.030245
70.0,531,258.73893
70.0,531,259.358969
70.0,531,259.919972
70.0,531,260.488905
70.0,531,261.109064
70.0,531,261.853547
70.0,531,262.558933
70.0,531,263.164023
80.0,531,263.749351
80.0,531,264.355095
70.0,531,265.108911
70.0,531,265.72419
70.0,531,266.433711
70.0,531,267.068655
70.0,531,267.669005
70.0,531,268.439079
80.0,531,269.000907
80.0,531,269.69904
70.0,531,270.258889
70.0,531,270.854157
80.0,531,271.599083
70.0,531,272.382898
70.0,531,272.998825
