#{"t_start": 1715635368.0384052, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
710.0,607,138.270853
660.0,627,138.655401
500.0,563,139.005427
110.0,433,139.297825
310.0,589,139.729196
580.0,505,140.540923
610.0,701,140.960596
600.0,461,141.235883
370.0,577,141.567817
620.0,703,142.000043
340.0,451,142.775743
300.0,429,143.024889
300.0,547,143.365556
300.0,429,143.64637
300.0,547,143.994264
250.0,511,145.063622
300.0,545,145.44709
290.0,625,145.877504
260.0,489,146.203583
250.0,489,146.54745
380.0,415,147.464049
710.0,721,147.987967
570.0,901,148.633968
620.0,627,149.248399
570.0,901,150.044679
1200.0,861,151.544366
960.0,747,152.203896
450.0,657,152.778621
440.0,499,153.204427
410.0,501,153.616944
500.0,529,154.62465
500.0,529,154.984467
500.0,529,155.37017
500.0,529,155.769702
500.0,529,156.16757
470.0,519,157.27572
330.0,595,157.745055
660.0,651,158.24772
630.0,695,158.940581
300.0,531,159.419362
430.0,933,161.089977
280.0,427,161.462059
230.0,467,161.85385
1030.0,689,162.44085
480.0,661,163.024022
380.0,647,164.241004
330.0,507,164.594778
380.0,647,165.042973
860.0,521,165.408683
470.0,575,165.85067
260.0,385,166.776471
260.0,393,167.050377
630.0,729,167.547099
440.0,493,167.940158
510.0,529,168.40449
320.0,467,169.603139
420.0,507,169.906428
490.0,639,170.278007
890.0,723,170.718586
190.0,529,171.112543
420.0,407,172.359389
310.0,545,172.840931
650.0,659,173.392453
380.0,499,173.850488
380.0,463,174.228621
190.0,267,175.192662
190.0,267,175.40947
310.0,507,175.874334
350.0,447,176.250274
150.0,281,176.484402
240.0,441,177.625229
140.0,617,178.150395
360.0,643,178.65299
270.0,465,178.962982
230.0,521,179.311592
1260.0,925,180.51789
260.0,469,180.860236
330.0,457,181.19893
290.0,531,181.6075
320.0,537,182.031182
900.0,615,183.093568
220.0,505,183.441859
220.0,505,183.862009
900.0,615,184.401641
220.0,505,184.831249
250.0,397,185.881285
470.0,561,186.360312
380.0,585,186.837657
300.0,515,187.274786
290.0,523,187.733088
400.0,401,188.7316
540.0,555,189.10205
400.0,489,189.433492
590.0,609,189.846706
300.0,559,190.221043
150.0,547,191.353388
390.0,597,191.777688
110.0,525,192.135804
150.0,547,192.526892
150.0,547,192.949139
390.0,639,194.12891
350.0,571,194.618506
490.0,597,195.122058
360.0,595,195.64776
540.0,557,196.137363
360.0,707,197.465476
980.0,931,198.257488
110.0,303,198.514756
420.0,437,198.852761
450.0,697,199.324837
220.0,505,200.281227
220.0,505,200.636676
410.0,581,201.067441
430.0,819,201.678149
530.0,1063,202.483675
270.0,385,203.365601
180.0,449,203.676785
260.0,447,204.001616
1000.0,685,204.575945
100.0,507,205.033397
300.0,481,206.194686
300.0,465,206.602441
370.0,635,207.143072
260.0,513,207.583909
380.0,589,208.070516
470.0,675,209.297577
470.0,539,209.648009
250.0,325,209.868946
350.0,671,210.311553
580.0,647,210.76405
960.0,657,211.8276
970.0,609,212.243469
220.0,505,212.604964
290.0,457,212.938909
290.0,457,213.306708
150.0,487,214.469543
100.0,319,214.743973
90.0,353,215.042166
100.0,321,215.311576
430.0,589,215.819064
430.0,517,217.011969
260.0,343,217.289244
310.0,497,217.693584
360.0,421,218.033941
410.0,365,218.332077
940.0,825,219.614875
390.0,601,220.013652
250.0,443,220.311725
710.0,569,220.716183
280.0,469,221.048341
380.0,511,222.060839
610.0,571,222.451306
340.0,639,222.899038
360.0,495,223.245133
240.0,461,223.581937
260.0,565,224.729117
840.0,693,225.332297
330.0,871,226.077114
400.0,689,226.681667
330.0,825,227.407359
420.0,603,228.681761
370.0,485,229.101867
260.0,351,229.377351
470.0,759,229.914188
260.0,351,230.162358
240.0,721,231.285284
240.0,721,231.831233
240.0,719,232.377112
190.0,749,232.929829
190.0,749,233.489071
220.0,505,234.480191
510.0,519,234.929655
440.0,579,235.446779
450.0,619,235.967777
150.0,497,236.401702
310.0,427,237.542646
320.0,671,238.127227
1100.0,727,238.715345
340.0,599,239.224056
310.0,673,239.746251
220.0,581,240.713233
260.0,491,241.046789
210.0,549,241.442377
290.0,507,241.824138
490.0,695,242.345485
310.0,557,243.361889
370.0,625,243.784271
290.0,693,244.252878
370.0,595,244.667609
370.0,417,245.134647
210.0,513,246.30465
220.0,513,246.718426
220.0,513,247.139412
220.0,513,247.556935
240.0,513,247.976657
250.0,455,249.086348
650.0,677,249.655509
250.0,455,249.970358
650.0,677,250.422634
260.0,455,250.729579
940.0,635,251.755786
480.0,623,252.191826
370.0,645,252.67901
1650.0,591,253.120567
380.0,615,253.62813
60.0,513,254.627159
60.0,513,255.064088
260.0,453,255.447172
60.0,513,255.870934
90.0,441,256.22927
330.0,535,257.390379
330.0,535,257.828248
330.0,535,258.260963
270.0,399,258.591128
390.0,547,259.049981
60.0,483,260.111833
80.0,671,260.551141
60.0,483,260.867624
90.0,505,261.196299
60.0,565,261.578386
440.0,771,262.728308
650.0,639,263.162854
400.0,583,263.559161
690.0,683,264.079922
2430.0,1025,264.890552
320.0,433,266.102045
310.0,643,266.641693
610.0,687,267.226296
510.0,781,267.856071
220.0,347,268.142652
150.0,475,269.261756
350.0,469,269.641103
310.0,419,269.97086
1140.0,791,270.493621
350.0,623,270.913897
280.0,481,271.857603
280.0,481,272.202147
280.0,481,272.56435
280.0,481,272.933752
280.0,481,273.301038
490.0,719,274.478271
480.0,679,274.985878
290.0,453,275.417632
240.0,405,275.794564
330.0,395,276.155881
230.0,483,277.289799
160.0,325,277.554326
200.0,483,277.966881
110.0,359,278.26631
230.0,357,278.564714
220.0,355,279.561322
490.0,623,280.069228
220.0,407,280.361048
980.0,745,280.879872
490.0,623,281.333698
550.0,663,282.403045
550.0,729,282.933885
390.0,545,283.361825
550.0,663,283.882924
790.0,705,284.434894
260.0,475,285.476886
460.0,649,286.02406
460.0,765,286.668328
450.0,799,287.387977
450.0,797,288.146674
770.0,573,289.386424
210.0,505,289.817861
290.0,521,290.230225
290.0,521,290.584401
380.0,497,290.931666
410.0,639,292.095
150.0,387,292.426834
250.0,411,292.736627
410.0,461,293.107077
260.0,377,293.413446
280.0,499,294.37925
350.0,423,294.674697
260.0,427,294.975292
300.0,485,295.316187
260.0,481,295.794436
140.0,449,296.887761
390.0,549,297.367851
690.0,693,297.962941
380.0,503,298.388648
240.0,673,298.958237
320.0,503,300.10653
